,firstName,lastName,player_id,team_id
203112,Quincy,Acy,203112,1610612758
203919,Jordan,Adams,203919,1610612763
203500,Steven,Adams,203500,1610612760
201167,Arron,Afflalo,201167,1610612752
201582,Alexis,Ajinca,201582,1610612740
202332,Cole,Aldrich,202332,1610612746
200746,LaMarcus,Aldridge,200746,1610612759
1626146,Cliff,Alexander,1626146,1610612757
202730,Lavoy,Allen,202730,1610612754
2754,Tony,Allen,2754,1610612763
202329,Al-Farouq,Aminu,202329,1610612757
200811,Lou,Amundson,200811,1610612752
2365,Chris,Andersen,2365,1610612763
101187,Alan,Anderson,101187,1610612764
202341,James,Anderson,202341,1610612758
1626147,Justin,Anderson,1626147,1610612742
203937,Kyle,Anderson,203937,1610612759
201583,Ryan,Anderson,201583,1610612740
203507,Giannis,Antetokounmpo,203507,1610612749
203648,Thanasis,Antetokounmpo,203648,1610612752
2546,Carmelo,Anthony,2546,1610612752
201202,Joel,Anthony,201202,1610612765
203951,Keith,Appling,203951,0
2772,Trevor,Ariza,2772,1610612745
201589,Darrell,Arthur,201589,1610612743
201600,Omer,Asik,201600,1610612740
201571,D.J.,Augustin,201571,1610612743
201965,Jeff,Ayres,201965,0
202337,Luke,Babbitt,202337,1610612740
203946,Cameron,Bairstow,203946,1610612741
2571,Leandro,Barbosa,2571,1610612744
200826,Jose Juan,Barea,200826,1610612742
200745,Andrea,Bargnani,200745,0
203084,Harrison,Barnes,203084,1610612744
2440,Matt,Barnes,2440,1610612763
203115,Will,Barton,203115,1610612743
101138,Brandon,Bass,101138,1610612747
201587,Nicolas,Batum,201587,1610612766
201573,Jerryd,Bayless,201573,1610612749
203382,Aron,Baynes,203382,1610612765
203145,Kent,Bazemore,203145,1610612737
203078,Bradley,Beal,203078,1610612764
201158,Marco,Belinelli,201158,1610612758
203461,Anthony,Bennett,203461,1610612761
201976,Patrick,Beverley,201976,1610612745
202687,Bismack,Biyombo,202687,1610612761
202357,Nemanja,Bjelica,202357,1610612750
204028,Tarik,Black,204028,1610612747
201971,DeJuan,Blair,201971,0
2581,Steve,Blake,2581,1610612765
202339,Eric,Bledsoe,202339,1610612756
202711,Bojan,Bogdanovic,202711,1610612751
101106,Andrew,Bogut,101106,1610612744
2588,Matt,Bonner,2588,1610612759
1626164,Devin,Booker,1626164,1610612756
202344,Trevor,Booker,202344,1610612762
2547,Chris,Bosh,2547,1610612748
202340,Avery,Bradley,202340,1610612738
1882,Elton,Brand,1882,1610612755
201147,Corey,Brewer,201147,1610612745
